,titan,io,callisto,europa,ganymede
1995-01-01,,,,,
1995-01-02,6.693020486570056e-05,4.450184207716035e-05,6.369166561004391e-05,0.00011420735881606525,6.366819874403795e-05
1995-01-03,6.70309455086393e-05,4.2030832922534955e-05,6.381450325254612e-05,0.00011508552826056118,6.380770111036327e-05
1995-01-04,6.667682489913673e-05,4.287819176385099e-05,6.311607833908717e-05,0.00011584500158057232,6.290623881177737e-05
1995-01-05,6.701211065740509e-05,4.1150383546462166e-05,6.267749352661944e-05,0.00011576453815131948,6.23403729147487e-05
1995-01-06,6.597341116565403e-05,3.805524767908075e-05,6.212064531818662e-05,0.00011496869213667438,6.184799687525278e-05
1995-01-07,6.701638656014808e-05,3.8310611859770916e-05,6.17105993621081e-05,0.00011484345815948593,6.096101435915102e-05
1995-01-08,6.535394484452617e-05,3.813740757174777e-05,6.129070921501167e-05,0.00011333154733650375,6.052972356984654e-05
1995-01-09,6.543138414549787e-05,3.70895353498657e-05,6.0804681907056235e-05,0.00011249883521369242,5.905867621658345e-05
1995-01-10,6.534092066079467e-05,3.754987995852055e-05,6.012362887908296e-05,0.00011123255024880763,5.89344476000786e-05
1995-01-11,6.569121662103328e-05,3.769824788157905e-05,6.0190181327079983e-05,0.00011091310314403913,5.9187640364832816e-05
1995-01-12,6.601208575118811e-05,3.5049736366143946e-05,6.0797558997016665e-05,0.0001131795191831042,5.97720977402183e-05
1995-01-13,6.530977669960691e-05,3.5812421514069825e-05,6.06537128153839e-05,0.0001119302663403765,5.915428073488549e-05
1995-01-14,6.528795549032296e-05,3.511083887541844e-05,6.0584160348042815e-05,0.0001109821320590676,5.8368997561508706e-05
1995-01-15,6.203499786638922e-05,3.1905229344930675e-05,6.0802721021602224e-05,0.00011182215017058184,5.8760953309366926e-05
1995-01-16,6.082424604270109e-05,3.459203152345047e-05,6.0509652269447045e-05,0.00011149205517901883,5.905955622753645e-05
1995-01-17,5.9117150801979435e-05,3.415799090733529e-05,6.066652202707523e-05,0.00011088903421274665,5.829416649905106e-05
1995-01-18,5.83590777138987e-05,3.26224830695665e-05,6.062223275482559e-05,0.00011207678695468459,5.793521671515478e-05
1995-01-19,5.8788279442723024e-05,3.332910381770304e-05,6.0946568033237725e-05,0.00011216646285627796,5.706477583911074e-05
1995-01-20,5.995887919718612e-05,3.471530384246968e-05,6.05030551359409e-05,0.0001115531118549562,5.6627585004465075e-05
1995-01-21,6.000423115337661e-05,3.360097752747038e-05,6.076721754411096e-05,0.00011302844070404383,5.501965234611106e-05
1995-01-22,6.0226403631347125e-05,3.216046286569352e-05,6.121868325692503e-05,0.00011184466959757167,5.440187593430679e-05
1995-01-23,5.973564754802041e-05,3.1901007160550776e-05,6.150546422967196e-05,0.00011287702350903928,5.313435542442235e-05
1995-01-24,5.9004802036355386e-05,3.181157792697675e-05,6.169667786393163e-05,0.000111977809784225,5.312349146668893e-05
1995-01-25,6.112542749181493e-05,3.340480619939967e-05,6.20367045003345e-05,0.00011314923005945055,5.2466209439439027e-05
1995-01-26,5.936313580434671e-05,3.602638012889514e-05,6.118199565507965e-05,0.00011322940794422642,5.327567000668054e-05
1995-01-27,5.8279440920072645e-05,3.573544929591499e-05,6.053521894622271e-05,0.00011276646356983555,5.260251086536272e-05
1995-01-28,5.89414380369746e-05,3.861498954527143e-05,5.874073421452408e-05,0.00011155081827562974,5.2490446214692454e-05
1995-01-29,5.854965808982371e-05,4.252122728121144e-05,5.89802995585309e-05,0.00011155757107639275,5.347898967222875e-05
1995-01-30,5.883219588187494e-05,4.422397046255355e-05,5.877096129092152e-05,0.00011090687375547859,5.3461409875721344e-05
1995-01-31,5.836885400944958e-05,4.602966916666951e-05,5.8755751524808275e-05,0.00011158628735374876,5.3978646880725734e-05
1995-02-01,5.8221862549556747e-05,4.626266787854938e-05,5.865172576857702e-05,0.00011110417429005537,5.240510165460677e-05
1995-02-02,5.8599181306018266e-05,4.915555369477964e-05,5.81324461845778e-05,0.00010928076811911325,5.2127274106972266e-05
1995-02-03,5.73372458247956e-05,4.7270291074097415e-05,5.8009586359375476e-05,0.00011020170409703489,5.258212624292824e-05
1995-02-04,5.7904072097603176e-05,4.840547433615505e-05,5.771570015844496e-05,0.00011209880769880165,5.201655943554151e-05
1995-02-05,5.8214120496113964e-05,4.845986451651463e-05,5.7546619809167865e-05,0.0001112726553251786,5.171359274780407e-05
1995-02-06,6.005898050776004e-05,4.36785842052867e-05,5.7272876833103226e-05,0.00011207094294007902,5.1390748491586535e-05
1995-02-07,6.013213154432151e-05,4.283210420097383e-05,5.719001422210823e-05,0.00011198084202601599,5.070995646949683e-05
1995-02-08,5.880208829878164e-05,4.339428788302513e-05,5.6968786612543454e-05,0.0001103241303224145,4.993340392411838e-05
1995-02-09,5.8834653802186665e-05,4.2474129438474506e-05,5.657008868675817e-05,0.00010892549024799081,5.020291658563991e-05
1995-02-10,5.960968068507988e-05,4.229647330245001e-05,5.6238451040968584e-05,0.00010831657760146385,4.8425984136235556e-05
1995-02-11,5.916681783868505e-05,4.180785886509497e-05,5.5616640831424036e-05,0.00010807836133031046,4.71543407689623e-05
1995-02-12,5.834165589835294e-05,3.997471727190671e-05,5.5626196903357794e-05,0.0001059576463016132,4.6606502688062434e-05
1995-02-13,5.776204557528253e-05,4.054786776652719e-05,5.521040522937781e-05,0.0001041149138496511,4.6210628246168284e-05
1995-02-14,5.84533935781284e-05,4.043762896088765e-05,5.521339521297186e-05,0.00010425557199944535,4.610461929122067e-05
1995-02-15,5.794808797476847e-05,3.9492796452877954e-05,5.527763558621501e-05,0.00010401143663618662,4.712663559414132e-05
1995-02-16,5.754000724733643e-05,3.6185538742516954e-05,5.533950909919483e-05,0.00010532138252905554,4.6204418791884194e-05
