,gdp,gdp,gdp,gdp,gdp,cpi,cpi,cpi,cpi,cpi
,titan,io,callisto,europa,ganymede,titan,io,callisto,europa,ganymede
1995-01-01,100.0,100.00000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1995-01-02,100.00669302048657,100.00445018420773,100.00636916656102,100.01142073588159,100.00636681987439,100.00013467795591,100.04180614473184,99.97213172637537,99.99561880809502,100.0242450770701
1995-01-03,100.01339656367692,100.00865345454493,100.01275102333148,100.02293060306909,100.01274799623758,100.01704898058946,100.03304974435643,99.97738101321886,100.03759138697957,100.05691933496924
1995-01-04,100.02006513940715,100.01294164476579,100.01906343595995,100.0345177596229,100.01903942204726,100.01570301852536,100.07954057385764,99.96978382324916,100.01853033205948,100.05327216661028
1995-01-05,100.02676769508024,100.01705721567407,100.025332380161,100.04609820937051,100.0252746462634,100.00661480090427,100.11519720333519,99.93977117066541,100.05690913028705,100.05868303345261
1995-01-06,100.03336680215295,100.02086338955856,100.03154601835664,100.05760037843504,100.03146100913716,100.01783465237476,100.10449793711417,99.91747075759899,100.05743288750847,100.09943917860784
1995-01-07,100.04007067693148,100.02469525003376,100.03771902501654,100.06909133927763,100.0375590284681,100.01167572604338,100.10249397844039,99.9311262967775,100.06879038851858,100.12694609223915
1995-01-08,100.04660869019274,100.02850993260375,100.04385040776384,100.08043232423967,100.04361427426268,100.02090564375352,100.13367922133344,99.92291153616092,100.06592950443243,100.09823155472151
1995-01-09,100.0531548782784,100.0322199435589,100.04993354226464,100.09169125630383,100.04952271768565,100.02281143006756,100.15311909985,99.91457817044925,100.07542812818943,100.10753514446695
1995-01-10,100.05969244353317,100.03597614140975,100.05594890733832,100.10282471038101,100.05541908103963,100.03893608985042,100.15514662210549,99.92419095927926,100.09187512560693,100.13117939998868
1995-01-11,100.06626548646453,100.03974732243542,100.0619712930459,100.11392742530313,100.06134112520076,100.06482758716618,100.17989284077679,99.9067012365735,100.06994061889297,100.15399014386725
1995-01-12,100.07287106936259,100.0432536892052,100.06805481664894,100.12525827147263,100.0673220014625,100.10441070395099,100.2066692189856,99.89664208611157,100.09467431380088,100.15857916442731
1995-01-13,100.07940680622583,100.04683648037596,100.07412431570778,100.13646531829835,100.07324141192056,100.12276358170459,100.21360919135506,99.9196546607828,100.09317210299852,100.16093017836586
